ref_no,name,pointx_class,feature_easting,feature_northing,description,x_normed,y_normed,longitude,latitude
64004533,Electricity Sub Station,6340433,531467.7,166549.9,"A place of electrical features, a type of infrastructure and facilities",0.4787477423239012,0.2215563435329836,-0.1118726231913216,51.38120197839925
166073779,Warwick Consulting Loss Adjusters & Insurance Specialists,2090149,530915.9,161033.4,"A place of insurers and support activities, a type of legal and financial",0.4686161520598607,0.0999535521292383,-0.1223040560107709,51.33310493578953
68807375,Nagapooshani Ambaal Temple,6340459,533998.0,194100.8,"A place of places of worship, a type of infrastructure and facilities",0.5214569536423845,0.8451405331309266,-0.0657713797084698,51.627948731269946
165439708,German Doner Kebab,1020018,534484.3,182680.7,"A place of fast food and takeaway outlets, a type of eating and drinking",0.5311430291562742,0.5898313149278925,-0.0619520094860618,51.526555614498896
54490942,B T Reilly,2030054,538331.4,165562.1,"A place of painting and decorating services, a type of construction services",0.5969725638599811,0.1974487657328001,-0.0135854854141743,51.37000889348115
125625624,Decorate 4 All,2030054,517746.9,164053.5,"A place of painting and decorating services, a type of construction services",0.2430480777500641,0.1704319651980833,-0.30941923181781,51.36392675749241
48054582,The Virgin Queen,1020034,534454.7,183644.1,"A place of pubs, bars and inns, a type of eating and drinking",0.5279951836243227,0.6076854232987051,-0.0642879023090989,51.53368032560687
95275233,Locke Launderette,2100158,546364.1,187040.6,"A place of cleaning services, a type of personal, consumer and other services",0.7343321579083173,0.6929365250195422,0.1100972218391506,51.5645086235281
158047182,Mr Fox,1020034,532171.6,165651.5,"A place of pubs, bars and inns, a type of eating and drinking",0.4916143459189817,0.2022068402986258,-0.1014481040085592,51.37335380842042
54678876,Science & Society Picture Library Within Science Museuem,2080122,526661.0,179007.3,"A place of film and video services, a type of it, advertising, marketing and media services",0.3958854390642478,0.511481687077296,-0.1764814166498332,51.49729573807733
157734591,Cash Machine (TSB),2090141,505173.3,184160.1,"A place of cash machines, a type of legal and financial",0.0291218715059774,0.6259700241302353,-0.4820064793276806,51.54708587086912
161895603,Navigation Lights,6330407,551067.9,179327.3,"A place of coastal safety, a type of central and local government",0.813172787477424,0.512619093473508,0.1727665308450907,51.491795536288826
64099443,Zweton,1020043,521414.1,186050.0,"A place of restaurants, a type of eating and drinking",0.302003956308592,0.6668214929025388,-0.2527080908498421,51.56010893554672
64022842,Electricity Sub Station,6340433,518900.5,170202.3,"A place of electrical features, a type of infrastructure and facilities",0.2606347295089017,0.3084025331082689,-0.2927060447553822,51.4184446365827
68567814,Letter Box,6340457,524920.7,170013.2,"A place of letter boxes, a type of infrastructure and facilities",0.364754450847166,0.3048453059328658,-0.2057557317894154,51.41573361166056
161952323,Poetic Endings,2100165,535300.6,173005.0,"A place of funeral and associated services, a type of personal, consumer and other services",0.5440784381181732,0.3734295521745533,-0.0547754024264122,51.440546387241945
68805017,St Andrew's United Reformed Church,6340459,524824.6,162415.0,"A place of places of worship, a type of infrastructure and facilities",0.3632063300937473,0.1307450918195103,-0.2097453105057517,51.34669495046389
125647707,1 Ace Security,2040071,544450.2,184757.4,"A place of security consultants, a type of consultancies",0.6998778704738974,0.6347452730794936,0.080167286463465,51.5419473025707
108282505,Stones Hair Ltd,2100156,532785.4,162933.5,"A place of hair and beauty services, a type of personal, consumer and other services",0.5013847080072246,0.1393096260379966,-0.094327502033126,51.34827394328351
68738110,Space Waye,6340441,510597.1,174920.2,"A place of waste storage, processing and disposal, a type of infrastructure and facilities",0.1186066913219233,0.417289936672293,-0.4098979171780522,51.46330864040573
165167027,Grace & Albert Cookshop,9480685,538542.7,191798.5,"A place that sells general household goods, a type of retail",0.602184570396491,0.7954934236612251,0.0011218181356651,51.60712219133745
54448402,Fountainhead Ltd,2030052,519025.7,176622.3,"A place of gardening, landscaping and tree surgery services, a type of construction services",0.2675668702158768,0.4540902448142652,-0.2847489156018863,51.4761503458014
159760521,Electricity Sub Station,6340433,528127.3,196405.8,"A place of electrical features, a type of infrastructure and facilities",0.4225492388406299,0.8994981364207948,-0.1479164522807736,51.65084765838763
125835688,Bus2you,2600113,543501.5,190750.0,"A place of vehicle hire and rental, a type of hire services",0.6850881568762359,0.7751900397639088,0.070306346308752,51.597864164854414
125723214,Andy Lambeth,2100774,544003.9,191823.4,"A place of musicians, orchestras and composers, a type of personal, consumer and other services",0.6935408961899028,0.7966036410599178,0.0777837956715749,51.60623108100656
161950286,Cibimarket,1020043,520958.3,184072.1,"A place of restaurants, a type of eating and drinking",0.2957426679280984,0.6274201039979155,-0.2585539608771875,51.544557791101006
166947078,Footbridge,10550747,531383.6,182019.6,"A place of footbridges, a type of walking transport",0.4784037154898082,0.5765087061435805,-0.1063427804156455,51.52199349510973
22059775,Bus Stop (Brent Cross Centre North Circular Road),10590732,523661.4,188028.7,"A place of bus stops, a type of bus transport",0.3421002838221381,0.7090097540528599,-0.2184443762937875,51.57633825462106
85624443,Iroko Theatre Company,4250315,539203.7,184406.7,"A place of theatres and concert halls, a type of venues, stage and screen",0.609667154038015,0.6261286266157629,0.0044436085484338,51.53984636149056
125889037,C Emereonye,2110190,549237.8,185109.0,"A place of property sales, a type of property and development services",0.7809065107078352,0.6397457828731973,0.148138096089875,51.54270710313398
48011417,Subway,1020018,519506.2,188740.0,"A place of fast food and takeaway outlets, a type of eating and drinking",0.2693214070697514,0.7279061073285678,-0.2791891717485338,51.584743281096856
95239995,Porters Sandwich Bar,1020013,530800.9,178634.8,"A place of cafes, snack bars and tea rooms, a type of eating and drinking",0.4654855078696138,0.4989747482185542,-0.1184291605201335,51.49141478751531
104559409,D P Building & Brickwork Services,2030045,543730.0,172450.0,"A place of building contractors, a type of construction services",0.687778446718844,0.3594272184522663,0.0650908628253784,51.43293859449194
104054683,Kingston Welcare,6350816,518607.2,169640.1,"A place of charitable organisations, a type of organisations",0.2566784209168315,0.2955783892784719,-0.2962015095102196,51.41340581980728
146523166,Francis Lodge Residential Home,5280373,514506.4,191008.5,"A place of nursing and residential care homes, a type of health practitioners and establishments",0.1881138728820848,0.7820575273872507,-0.3465195291726137,51.60720307105784
111319570,Tennis Court,4240305,524165.3,172318.8,"A place of tennis facilities, a type of sports complex",0.3520942633525415,0.3525166815828528,-0.2155979464458013,51.43480455937961
95851205,Starbucks Coffee Co UK Ltd,1020013,533268.2,181795.6,"A place of cafes, snack bars and tea rooms, a type of eating and drinking",0.5083718930076538,0.5701464807241339,-0.0813519903190827,51.51906203480485
161888038,Lock,10560752,514635.0,179843.4,"A place of locks, a type of water transport",0.1855783951148185,0.5246592878748401,-0.3523417764493406,51.5051275310613
161077763,Sports Court,4240302,540161.1,185503.6,"A place of sports grounds, stadia and pitches, a type of sports complex",0.6254923884062957,0.6534988841182269,0.018180609190149,51.55047383187485
166951213,Footbridge,10550747,533929.2,180628.9,"A place of footbridges, a type of walking transport",0.5180700094607379,0.5442217715897634,-0.0736648881913489,51.508646475819
125813592,UK Airport Direct Ltd,2150230,509796.3,180730.5,"A place of taxi services, a type of transport, storage and delivery",0.1035864797454201,0.5451733865029285,-0.4207115295089037,51.51421005201309
85574964,Herbal Inn,5280330,532815.7,196556.7,"A place of alternative, natural and complementary, a type of health practitioners and establishments",0.5001032080502279,0.904913278426663,-0.0826942175705631,51.651949775256085
22058030,Bus Stop (Wickham Court Road),10590732,538464.8,165955.2,"A place of bus stops, a type of bus transport",0.5980218457039649,0.2053109175153787,-0.0125748919313931,51.373112184323446
141258393,Monty Cars,2150230,524657.4,184496.3,"A place of taxi services, a type of transport, storage and delivery",0.3620366388578309,0.6329258759955139,-0.2029182263619934,51.54590425783319
167897262,Cash Machine (Cardtronics),2090141,538041.8,174086.1,"A place of cash machines, a type of legal and financial",0.588199879590608,0.3925524804295862,-0.0175651026164784,51.447512903016246
54800834,Peppermint Green,2100156,530213.5,188218.3,"A place of hair and beauty services, a type of personal, consumer and other services",0.4557839511481895,0.7157390309388134,-0.1230142973941519,51.57752108925188
157516587,Easilocks,2100156,538267.4,184897.5,"A place of hair and beauty services, a type of personal, consumer and other services",0.594942805538832,0.6365193551676089,-0.0077112309468632,51.54417752052188
